Type,Subtype,Name,File,RawX,RawY,RawZ,id,Drop,LootSpawnInfo,SpawnConditions,Clazz
spawner,spawner,specialShinyLootSpawner,Assets/worlds/isolaSacra/fortress/fortressA/hillsElevatorRoom/risenB/interactives/interactives.unity,-960430,2270190,3167092,"-1014287526,1100965840,-1910985821,-1461132077","","{""respawnFreq"":""FogCreepBack"",""missChance"":0,""anyTags"":[""SpecialShiny""],""allTags"":[],""noneTags"":[],""spawnConditions"":[]}","",.DynamicSpawner
npc,animal,npcCrabCritter,Assets/worlds/isolaSacra/fortress/fortressA/coastLine/risenB/interactives/interactives.unity,2637399,821166,4770365,"-1016236406,1246026335,1099679924,1481286412","","","",Moon.Forsaken.NpcInstance
food,potato,potatoesAView,Assets/worlds/isolaSacra/hills/hillsA/loot/loot.unity,10261077,3930189,-1475378,"-1016620514,1097793243,-689121861,-1985485052","{""groups"":[{""chances"":[{""chance"":60,""count"":1},{""chance"":35,""count"":2},{""chance"":5,""count"":3}],""items"":[{""specificItem"":[""2021943158973951263""],""filterPool"":[]}]}]}","","",Moon.Forsaken.StaticPickupView
bonfire,bonfire,fireplaceView,Assets/worlds/isolaSacra/fortress/fortressA/interactives/interactives.unity,-7091129,2420405,3425626,"-1017019841,1226414249,1653736850,-2016906963","","","",Moon.Forsaken.BonfireView
herb,dracaena,dracaenaHerbView,Assets/worlds/isolaSacra/mountainPass/mountainPassA/loot/loot.unity,27919626,8457442,22979844,"-1017660756,1087925100,-1798929732,1369245311","{""groups"":[{""chances"":[{""chance"":50,""count"":1},{""chance"":50,""count"":2}],""items"":[{""specificItem"":[""3492249412788768703""],""filterPool"":[]}]},{""chances"":[{""chance"":75,""count"":0},{""chance"":25,""count"":1}],""items"":[{""specificItem"":[""2815119926244608702""],""filterPool"":[]}]}]}","","",Moon.Forsaken.StaticPickupView
npc,enemies,npcNithMuckwraith (3-0p),Assets/worlds/isolaSacra/outskirts/outskirtsA/upperCentral/risenAndNith/interactives/interactives.unity,6673016,3786014,8074035,"-1017759049,1236020953,2037888692,-1852089015","","","",Moon.Forsaken.NpcInstance
npc,enemies,plaguedHumanGiantEnemySpawner (3-4p),Assets/worlds/isolaSacra/mountainPass/mountainPassA/mountainPathMiddle/plaguedHumanAndBoarskin/interactives/interactives.unity,28974776,7485919,16968582,"-1018933217,1334276722,28179330,-137104831","","{""respawnFreq"":""FogCreepBack"",""missChance"":0,""anyTags"":[],""allTags"":[""PlaguedHuman"",""Giant""],""noneTags"":[],""spawnConditions"":[""Quantum.QuantumConditionPlayerCount""]}","",.DynamicSpawner
npc,enemies,beastNormalEnemySpawner,Assets/worlds/isolaSacra/hills/hillsA/eastBeach/beastAndBoarskinAndTanth/interactives/interactives.unity,15369503,1890707,-2470051,"-1019815737,1098848392,-1295663432,-260839747","","{""respawnFreq"":""FogCreepBack"",""missChance"":0,""anyTags"":[],""allTags"":[""Beast"",""Normal""],""noneTags"":[""Plagued"",""Swimming""],""spawnConditions"":[]}","",.DynamicSpawner
wood,birch,birchDView,Assets/worlds/isolaSacra/marinWoods/marinWoodsA/loot/loot.unity,11489007,4262433,28794370,"-1021787721,1325134277,-1393869168,-2069619608","{""groups"":[{""chances"":[{""chance"":100,""count"":1}],""items"":[{""specificItem"":[""3703354541582648915""],""filterPool"":[]}]},{""chances"":[{""chance"":90,""count"":0},{""chance"":10,""count"":1}],""items"":[{""specificItem"":[""1901150899890273318""],""filterPool"":[]}]}]}","","",Moon.Forsaken.CuttableTreeView
food,firebrandberry,firebrandberryView,Assets/worlds/isolaSacra/mountainPass/mountainPassA/loot/loot.unity,26778232,7668486,23816876,"-1022431598,1236419171,1797280419,1916544632","{""groups"":[{""chances"":[{""chance"":60,""count"":1},{""chance"":35,""count"":2},{""chance"":5,""count"":3}],""items"":[{""specificItem"":[""180833899404673680""],""filterPool"":[]}]}]}","","",Moon.Forsaken.StaticPickupView
spawner,spawner,shinyLootSpawner,Assets/worlds/isolaSacra/mountainPass/mountainPassA/prisonCells/boarskin/interactives/interactives.unity,34882344,6373725,25432932,"-1022751623,1324420564,-534827599,-538054655","","{""respawnFreq"":""FogCreepBack"",""missChance"":0,""anyTags"":[""Shiny""],""allTags"":[],""noneTags"":[],""spawnConditions"":[]}","",.DynamicSpawner
spawner,spawner,shinyLootSpawner,Assets/worlds/isolaSacra/mountainPass/mountainPassA/prisonCells/plaguedHumanAndBoarskin/interactives/interactives.unity,33881692,6976002,22336588,"-1024785676,1322587942,1815890333,-1989863573","","{""respawnFreq"":""FogCreepBack"",""missChance"":0,""anyTags"":[],""allTags"":[""Shiny""],""noneTags"":[],""spawnConditions"":[]}","",.DynamicSpawner
npc,animal,npcRatCritter,Assets/worlds/isolaSacra/mountainPass/mountainPassA/farmHouse/boarskin/interactives/interactives.unity,31811958,5493498,12467054,"-10252829,1217867452,1027793329,-1803152724","","","",Moon.Forsaken.NpcInstance
herb,mushroom,mushroomOrangeAView,Assets/worlds/isolaSacra/mountainPass/mountainPassA/loot/loot.unity,31218926,5449318,12237537,"-1026623832,1200429593,778752438,343973776","{""groups"":[{""chances"":[{""chance"":60,""count"":1},{""chance"":35,""count"":2},{""chance"":5,""count"":3}],""items"":[{""specificItem"":[""334358031176021315""],""filterPool"":[]}]}]}","","",Moon.Forsaken.StaticPickupView
npc,npc_other,npcDavinosTirTrader,Assets/worlds/isolaSacra/sacrament/sacramentA/npcs/npcs.unity,17157916,4862124,14604094,"-1027396416,1257872596,-237578328,-834067090","","","{""requiredSpawnConditions"":{""questSteps"":[],""quests"":[{""questGuid"":""3723036162959996460"",""state"":""Completed"",""conditionType"":""And""}],""worldEvents"":[],""timesOfDay"":[],""hasItems"":[],""hasModifiers"":[],""activities"":[],""boons"":[],""hasGold"":null},""disableConditions"":null,""respawnConditions"":null}",Moon.Forsaken.NpcInstance
food,potato,potatoesAView,Assets/worlds/isolaSacra/hills/hillsA/loot/loot.unity,15333411,1879559,-2383776,"-1029679936,1188363698,-1045472594,1440413543","{""groups"":[{""chances"":[{""chance"":60,""count"":1},{""chance"":35,""count"":2},{""chance"":5,""count"":3}],""items"":[{""specificItem"":[""2021943158973951263""],""filterPool"":[]}]}]}","","",Moon.Forsaken.StaticPickupView
interactible,platform,damBridge,Assets/worlds/isolaSacra/hills/hillsA/interactives/interactives.unity,9112781,4545757,-11726356,"-1029955537,1190039653,-2100620917,-474925735","","","",Moon.Forsaken.MovingPlatformView
npc,npc_other,npcGuardRend,Assets/worlds/isolaSacra/sacrament/sacramentA/npcs/npcs.unity,9873654,3399352,9559081,"-1031724532,1281310915,40780982,-1072979230","","","{""requiredSpawnConditions"":null,""disableConditions"":{""questSteps"":[],""quests"":[],""worldEvents"":[{""eventGuid"":""3276508712681611796"",""state"":""2"",""conditionType"":""And""}],""timesOfDay"":[],""hasItems"":[],""hasModifiers"":[],""activities"":[],""boons"":[],""hasGold"":null},""respawnConditions"":null}",Moon.Forsaken.NpcInstance
wood,pine,pineAView,Assets/worlds/isolaSacra/outskirts/outskirtsA/loot/loot.unity,3323330,1548091,8913382,"-1031935313,1213294867,-484263001,1711979526","{""groups"":[{""chances"":[{""chance"":100,""count"":1}],""items"":[{""specificItem"":[""3191183561878509088""],""filterPool"":[]}]},{""chances"":[{""chance"":90,""count"":0},{""chance"":10,""count"":1}],""items"":[{""specificItem"":[""1370552893263282844""],""filterPool"":[]}]}]}","","",Moon.Forsaken.CuttableTreeView
ore,iron,ironOreResourceView,Assets/worlds/isolaSacra/mountainPass/mountainPassA/loot/loot.unity,32521584,6263931,21059994,"-1033458841,1106644919,-709207628,1042954676","{""groups"":[{""chances"":[{""chance"":100,""count"":1}],""items"":[{""specificItem"":[""996809264675242694""],""filterPool"":[]}]},{""chances"":[{""chance"":65,""count"":0},{""chance"":35,""count"":1}],""items"":[{""specificItem"":[],""filterPool"":[""Rock""]}]},{""chances"":[{""chance"":99,""count"":0},{""chance"":1,""count"":1}],""items"":[{""specificItem"":[],""filterPool"":[""Gem""]}]}]}","","",Moon.Forsaken.OreVeinView
npc,npc_other,npcGuardPallos,Assets/worlds/isolaSacra/sacrament/sacramentA/npcs/npcs.unity,12915835,3267625,12624200,"-1033888731,1300150160,1956781240,-41588992","","","",Moon.Forsaken.NpcInstance
food,tomato,tomatoAPickupView (10),Assets/worlds/isolaSacra/willsFarm/willsFarmA/villageArtState/default/interactives/interactives.unity,18921986,3511524,34520760,"-1034036054,1073770430,-1842076255,835122452","{""groups"":[{""chances"":[{""chance"":60,""count"":1},{""chance"":35,""count"":2},{""chance"":5,""count"":3}],""items"":[{""specificItem"":[""4122645235203468911""],""filterPool"":[]}]}]}","","",Moon.Forsaken.StaticPickupView
npc,animal,crittersCoastEnemySpawner,Assets/worlds/isolaSacra/outskirts/outskirtsA/eastLoop/risen/interactives/interactives.unity,5250089,766089,3917742,"-103409278,1283945767,-1951320393,474720624","","{""respawnFreq"":""FogCreepBack"",""missChance"":0,""anyTags"":[],""allTags"":[""Critters"",""Coast""],""noneTags"":[],""spawnConditions"":[]}","",.DynamicSpawner
wood,spruce,spruceCPickupView,Assets/worlds/isolaSacra/marinWoods/marinWoodsA/loot/loot.unity,19490612,4068906,26372096,"-1034156395,1117250211,-1860580681,-224579068","{""groups"":[{""chances"":[{""chance"":100,""count"":1}],""items"":[{""specificItem"":[""2466785325384271848""],""filterPool"":[]}]},{""chances"":[{""chance"":90,""count"":0},{""chance"":10,""count"":1}],""items"":[{""specificItem"":[""3062785446694052011""],""filterPool"":[]}]}]}","","",Moon.Forsaken.CuttableTreeView
interactible,ladder,ladder,Assets/worlds/isolaSacra/marinWoods/marinWoodsA/interactives/interactives.unity,17918852,2947678,21710766,"-1034701711,1167216802,-1867526977,-2092903111","","","",Moon.Forsaken.LadderView
npc,enemies,risenNormalRangedEnemySpawner,Assets/worlds/isolaSacra/outskirts/outskirtsA/westBonfireTower/risen/interactives/interactives.unity,4417934,2256115,9867303,"-1034727323,1282630024,2021840047,132796390","","{""respawnFreq"":""FogCreepBack"",""missChance"":0,""anyTags"":[],""allTags"":[""Risen"",""Normal"",""Ranged""],""noneTags"":[],""spawnConditions"":[]}","",.DynamicSpawner
spawner,spawner,shinyLootSpawner,Assets/worlds/isolaSacra/mountainPass/mountainPassA/quarryBottom/plaguedHumanAndBoarskin/interactives/interactives.unity,34627028,6220105,18992140,"-1036089142,1256903517,735428789,-1004892940","","{""respawnFreq"":""FogCreepBack"",""missChance"":0,""anyTags"":[""Shiny""],""allTags"":[],""noneTags"":[],""spawnConditions"":[]}","",.DynamicSpawner
wood,birch,log3_marinTreeBirchC_pickupView (5),Assets/worlds/isolaSacra/willsFarm/willsFarmA/villageArtState/default/interactives/interactives.unity,11898716,4146666,32417382,"-1038233486,1091725612,1052181424,1537580715","{""groups"":[{""chances"":[{""chance"":100,""count"":1}],""items"":[{""specificItem"":[""3703354541582648915""],""filterPool"":[]}]},{""chances"":[{""chance"":90,""count"":0},{""chance"":10,""count"":1}],""items"":[{""specificItem"":[""1901150899890273318""],""filterPool"":[]}]}]}","","",Moon.Forsaken.CuttableTreeView
npc,enemies,boarskinEnemySpawner,Assets/worlds/isolaSacra/mountainPass/mountainPassA/firePit/boarskin/interactives/interactives.unity,30492590,7205028,23175496,"-1039063215,1285309165,-1799895382,758560543","","{""respawnFreq"":""FogCreepBack"",""missChance"":0,""anyTags"":[],""allTags"":[""Boarskin""],""noneTags"":[""Boss"",""Ranged""],""spawnConditions"":[]}","",.DynamicSpawner
npc,enemies,npcBalakTawFirebomb,Assets/worlds/isolaSacra/marinWoods/marinWoodsA/centralArea/default/interactives/interactives.unity,14697527,3463089,23052336,"-1039287009,1081671728,-1464875888,-79181202","","","",Moon.Forsaken.NpcInstance
npc,enemies,npcPlaguedRat,Assets/worlds/isolaSacra/marinWoods/marinWoodsA/roadConvoy/default/interactives/interactives.unity,14084997,3857238,25162548,"-1039322958,1089533499,1333901710,1296998","","","",Moon.Forsaken.NpcInstance
npc,npc_other,npcCaptainRandolph,Assets/activities/npcActivities/danosActivities/vendorUpgrades/randolph/level1/level1/interactives/interactives.unity,15608884,3162112,10470494,"-1040573390,1074585936,823202493,477503505","","","",Moon.Forsaken.NpcInstance
digging,digging,tier1DigSpotDirtAView,Assets/worlds/isolaSacra/fortress/fortressA/loot/loot.unity,-5938872,2294022,5978849,"-1040753812,1156615650,2022379141,-2127296428","{""groups"":[{""chances"":[{""chance"":70,""count"":1},{""chance"":25,""count"":2},{""chance"":5,""count"":3}],""items"":[{""specificItem"":[],""filterPool"":[""Rock""]},{""specificItem"":[],""filterPool"":[""Root""]},{""specificItem"":[],""filterPool"":[""Weapon""]},{""specificItem"":[],""filterPool"":[""Component""]},{""specificItem"":[],""filterPool"":[""Gem""]},{""specificItem"":[],""filterPool"":[""Ember""]},{""specificItem"":[""3070838133503008000""],""filterPool"":[]},{""specificItem"":[],""filterPool"":[]}]}]}","","",Moon.Forsaken.DigSpotView
npc,enemies,tanthNormalEnemySpawner (2-4p),Assets/worlds/isolaSacra/hills/hillsA/lumberyard/beastAndBoarskinAndTanth/interactives/interactives.unity,7239762,4713349,-6736445,"-1040964672,1274328118,-776172366,1749143833","","{""respawnFreq"":""FogCreepBack"",""missChance"":0,""anyTags"":[],""allTags"":[""Tanth"",""Normal""],""noneTags"":[""Ranged""],""spawnConditions"":[""Quantum.QuantumConditionPlayerCount""]}","",.DynamicSpawner
npc,enemies,npcNithWallower,Assets/worlds/isolaSacra/outskirts/outskirtsA/northWestBridgeArena/risenAndNith/interactives/interactives.unity,1021859,629801,10601962,"-104163981,1223805776,-1256934226,1774666500","","","",Moon.Forsaken.NpcInstance
npc,animal,crittersEnemySpawner,Assets/worlds/isolaSacra/outskirts/outskirtsA/eastLoop/risen/interactives/interactives.unity,5678117,2538854,3506216,"-1042381468,1153910407,1649479097,-551330526","","{""respawnFreq"":""FogCreepBack"",""missChance"":0,""anyTags"":[],""allTags"":[""Critters""],""noneTags"":[],""spawnConditions"":[]}","",.DynamicSpawner
spawner,spawner,shinyLootSpawner,Assets/worlds/isolaSacra/hills/hillsA/eastBeach/beastAndBoarskinAndTanth/interactives/interactives.unity,16261842,1054795,1747338,"-1042813763,1154896972,600036030,-1768714215","","{""respawnFreq"":""FogCreepBack"",""missChance"":0,""anyTags"":[""Shiny""],""allTags"":[],""noneTags"":[],""spawnConditions"":[]}","",.DynamicSpawner
npc,npc_other,npcElsaAfterInquisition,Assets/worlds/isolaSacra/sacrament/sacramentA/npcs/npcs.unity,14662200,3164733,10882334,"-1044591457,1201198921,1786884532,1205452435","","","{""requiredSpawnConditions"":{""questSteps"":[{""questGuid"":""2701925613416510916"",""state"":""Completed"",""conditionType"":""And""}],""quests"":[{""questGuid"":""2344511009826408226"",""state"":""Completed"",""conditionType"":""And""}],""worldEvents"":[],""timesOfDay"":[],""hasItems"":[],""hasModifiers"":[],""activities"":[],""boons"":[],""hasGold"":null},""disableConditions"":null,""respawnConditions"":null}",Moon.Forsaken.NpcInstance
fishing,carp,carpFishingSpotView,Assets/worlds/isolaSacra/sacrament/sacramentA/loot/loot.unity,13879869,2694312,9174385,"-1044675266,1161478956,898953350,-991327994","{""groups"":[{""chances"":[{""chance"":100,""count"":1}],""items"":[{""specificItem"":[""3974289298266048918""],""filterPool"":[]}]},{""chances"":[{""chance"":80,""count"":0},{""chance"":10,""count"":1},{""chance"":5,""count"":2},{""chance"":3,""count"":3}],""items"":[{""specificItem"":[],""filterPool"":[""Rock""]},{""specificItem"":[],""filterPool"":[""Gem""]},{""specificItem"":[],""filterPool"":[""Ember""]},{""specificItem"":[],""filterPool"":[""Gear""]},{""specificItem"":[],""filterPool"":[""Ring""]}]}]}","","",Moon.Forsaken.FarmableResourceView
herb,dracaena,dracaenaHerbView,Assets/worlds/isolaSacra/marinWoods/marinWoodsA/loot/loot.unity,11880174,4291846,27896184,"-104589667,1208172792,1625080715,-491776480","{""groups"":[{""chances"":[{""chance"":50,""count"":1},{""chance"":50,""count"":2}],""items"":[{""specificItem"":[""3492249412788768703""],""filterPool"":[]}]},{""chances"":[{""chance"":75,""count"":0},{""chance"":25,""count"":1}],""items"":[{""specificItem"":[""2815119926244608702""],""filterPool"":[]}]}]}","","",Moon.Forsaken.StaticPickupView
fishing,carp,carpFishingSpotPickupView,Assets/worlds/isolaSacra/fortress/fortressA/loot/loot.unity,-5989990,749797,2992373,"-1046814984,1105030250,1554630529,1728935891","{""groups"":[{""chances"":[{""chance"":100,""count"":1}],""items"":[{""specificItem"":[""3974289298266048918""],""filterPool"":[]}]},{""chances"":[{""chance"":80,""count"":0},{""chance"":10,""count"":1},{""chance"":5,""count"":2},{""chance"":3,""count"":3}],""items"":[{""specificItem"":[],""filterPool"":[""Rock""]},{""specificItem"":[],""filterPool"":[""Gem""]},{""specificItem"":[],""filterPool"":[""Ember""]},{""specificItem"":[],""filterPool"":[""Gear""]},{""specificItem"":[],""filterPool"":[""Ring""]}]}]}","","",Moon.Forsaken.FarmableResourceView
npc,enemies,boarskinNormalEnemySpawner,Assets/worlds/isolaSacra/hills/hillsA/upperHuntersCamp/beastAndBoarskinAndTanth/interactives/interactives.unity,15780413,5144599,-6585057,"-1049483396,1121357086,-1746286667,-98658664","","{""respawnFreq"":""FogCreepBack"",""missChance"":0,""anyTags"":[],""allTags"":[""Boarskin"",""Normal""],""noneTags"":[],""spawnConditions"":[]}","",.DynamicSpawner
interactible,readable,readableViewPosterRisenHolder,Assets/worlds/isolaSacra/fortress/fortressA/interactivesLoreItems/interactivesLoreItems.unity,1240298,1772275,6195569,"-104980969,1161053542,-195589247,732103537","","","",Moon.Forsaken.GeneralReadableView
npc,enemies,boarskinNormalEnemySpawner (4-4p),Assets/worlds/isolaSacra/mountainPass/mountainPassA/firePit/plaguedHumanAndBoarskin/interactives/interactives.unity,30470964,7217479,23461232,"-1051217525,1132685812,-2127120464,-515260629","","{""respawnFreq"":""FogCreepBack"",""missChance"":0,""anyTags"":[],""allTags"":[""Boarskin"",""Normal""],""noneTags"":[],""spawnConditions"":[""Quantum.QuantumConditionPlayerCount""]}","",.DynamicSpawner
npc,enemies,boarskinNormalEnemySpawner (3-4p),Assets/worlds/isolaSacra/hills/hillsA/upperHuntersCamp/beastAndBoarskinAndTanth/interactives/interactives.unity,14949417,5212160,-4569170,"-1052059475,1294828916,2115400604,1245303147","","{""respawnFreq"":""FogCreepBack"",""missChance"":0,""anyTags"":[],""allTags"":[""Boarskin"",""Normal""],""noneTags"":[],""spawnConditions"":[""Quantum.QuantumConditionPlayerCount""]}","",.DynamicSpawner
spawner,spawner,mediumChestSmallChestLootSpawner,Assets/worlds/isolaSacra/mountainPass/mountainPassA/mountainPathMiddle/plaguedHumanAndBoarskin/interactives/interactives.unity,29033758,7453425,15562179,"-1053157782,1110399750,-116662859,399633268","","{""respawnFreq"":""FogCreepBack"",""missChance"":0,""anyTags"":[""MediumChest"",""SmallChest""],""allTags"":[],""noneTags"":[],""spawnConditions"":[]}","",.DynamicSpawner
npc,enemies,boarskinNormalMeleeEnemySpawner (4-4p),Assets/worlds/isolaSacra/hills/hillsA/farm/beastAndBoarskinAndTanth/interactives/interactives.unity,5845156,3843753,-1032847,"-105397501,1109464661,-1121795702,-1874181422","","{""respawnFreq"":""FogCreepBack"",""missChance"":0,""anyTags"":[],""allTags"":[""Boarskin"",""Normal"",""Melee""],""noneTags"":[],""spawnConditions"":[""Quantum.QuantumConditionPlayerCount""]}","",.DynamicSpawner
npc,enemies,npcNithScreamer,Assets/worlds/isolaSacra/outskirts/outskirtsA/westBonfireUpper/risenAndNith/interactives/interactives.unity,6501171,4501070,11323966,"-1056969707,1201488266,-1944793446,1065368486","","","",Moon.Forsaken.NpcInstance
npc,enemies,tanthNormalEnemySpawner (3-4p),Assets/worlds/isolaSacra/hills/hillsA/lumberyardTerrace/beastAndBoarskinAndTanth/interactives/interactives.unity,12176218,5062826,-7809786,"-1057062271,1145112982,59787657,458739940","","{""respawnFreq"":""FogCreepBack"",""missChance"":0,""anyTags"":[],""allTags"":[""Tanth"",""Normal""],""noneTags"":[""Ranged""],""spawnConditions"":[""Quantum.QuantumConditionPlayerCount""]}","",.DynamicSpawner
wood,pine,pineDView,Assets/worlds/isolaSacra/sacrament/sacramentA/artGraveyard/artGraveyard.unity,11339199,3384460,18022740,"-1057586492,1179765139,-1922897270,-1902663810","{""groups"":[{""chances"":[{""chance"":100,""count"":1}],""items"":[{""specificItem"":[""3191183561878509088""],""filterPool"":[]}]},{""chances"":[{""chance"":90,""count"":0},{""chance"":10,""count"":1}],""items"":[{""specificItem"":[""1370552893263282844""],""filterPool"":[]}]}]}","","",Moon.Forsaken.CuttableTreeView
npc,enemies,risenNormalRangedEnemySpawner,Assets/worlds/isolaSacra/coast/coastA/mainBeach/risenB/interactives/interactives.unity,347831,1048178,1302535,"-1057707421,1210544369,-1157590641,-492314887","","{""respawnFreq"":""FogCreepBack"",""missChance"":0,""anyTags"":[],""allTags"":[""Risen"",""Normal"",""Ranged""],""noneTags"":[],""spawnConditions"":[]}","",.DynamicSpawner
npc,enemies,boarskinNormalEnemySpawner,Assets/worlds/isolaSacra/mountainPass/mountainPassA/firePit/plaguedHumanAndBoarskin/interactives/interactives.unity,28641854,8077967,21529232,"-1058208169,1107252271,695565211,134533973","","{""respawnFreq"":""FogCreepBack"",""missChance"":0,""anyTags"":[],""allTags"":[""Boarskin"",""Normal""],""noneTags"":[],""spawnConditions"":[]}","",.DynamicSpawner
